id,dist,comp,prop,dist_water,elevation,contamination,comp_point,cont_code,cont_class,comp_class,n_micro,n_large,prop_def_all,prop_def_pine,prop_def_birch,prop_dead,prop_BA_pine,prop_BA_birch,shannon_exp,shannon_diam,response,dist_stand_scaled,prop_stand_scaled,elevation_scaled,dist_water_scaled,shannon_height,openness,H_percentile,Cont_UA,n_micro_scaled
204,276,8Бп2Сз,0.2,2579.77877304127,131,Medium,7,1,1,3,300,2100,0.444444444444444,0.4375,0.5,0.142857142857143,0.988336560218339,0.0116634397816604,1.065572890932839,6.28897872671414,0.988336560218339,1.7006211038557908,-0.9940347375947703,0.9742429797189233,-0.09599306328568914,3.261945915547021,1,4.5,Середнє,0.2727272727272727
205,228,8Бп2Сз,0.2,2825.45281744802,132,Medium,7,1,1,3,100,700,0.428571428571429,0.5,0,0,0.983981007954029,0,1.0855775985289455,4.71065067421325,0.983981007954029,1.1995561016231906,-0.9940347375947703,1.195759595416603,0.12056243813007447,4.710650674213246,1,5.8,Середнє,0.09090909090909091
206,97,10Бп,0,3080.82112960212,123,Medium,6,1,1,7,0,1500,0.285714285714286,0.428571428571429,0.142857142857143,0.0666666666666667,0.820389169418576,0.179610830581424,1.6012792761935317,9.12546512839809,0.820389169418576,-0.16793380030328048,-1.4691418279532915,-0.797889945862515,0.34566319314784344,5.853320991802024,0,8.44,Середнє,0
189,22,7Бп3Сз,0.3,2770.60000931376,135,Medium,1,1,1,1,100,100,1,0,1,0,0,1,1,1,0,-0.9508478662917181,-0.7564811924155097,1.8603094425096425,0.07221106508103367,1,0,8.4,Середнє,0.09090909090909091
190,74,7Бп3Сз,0.3,3000.68533107346,128,Medium,7,1,1,3,0,500,0.75,0.75,0,0.2,1,0,1,3.789291416276,1,-0.4080274472064014,-0.7564811924155097,0.3096931326258839,0.27502549890695455,3.7892914162759954,0,6.220000000000001,Середнє,0
111,127,10Сз,1,3479.66328879537,120,Medium,7,1,1,3,200,1200,0.333333333333333,0.333333333333333,0,0,1,0,1,8.48528137423857,1,0.1452318260920946,0.9063936238393148,-1.4624397929555544,0.6972325417878621,5.4989185479944105,1,12.099999999999998,Середнє,0.18181818181818182
110,23,10Дз,0,3367.21330524758,125,Medium,7,1,1,3,400,1800,0.111111111111111,0.111111111111111,0,0,1,0,1,5.86519753182598,1,-0.940409012078539,-1.4691418279532915,-0.3548567144671555,0.5981107048425305,4.629876197658818,1,11.120000000000001,Середнє,0.36363636363636365
95,311,10Дз,0,3651.09160595299,124,Medium,7,1,1,3,100,2800,0.25,0.25,0,0,1,0,1,12.9595815094961,1,2.0659810013170614,-1.4691418279532915,-0.5763733301648353,0.8483422988994641,5.671218443260935,1,7.919999999999999,Середнє,0.09090909090909091
94,227,10Сз,1,3569.44686326005,129,Medium,7,1,1,3,0,1500,0.384615384615385,0.384615384615385,0,0.133333333333333,1,0,1,8.31989177611433,1,1.1891172474100113,0.9063936238393148,0.5312097483235636,0.7763745082664508,5.526047247960579,0,6.539999999999999,Середнє,0
109,190,10Сз,1,3278.50377071825,132,Medium,7,1,1,3,0,600,0.333333333333333,0.333333333333333,0,0,1,0,1,4.7622031559046,1,0.8028796415223822,0.9063936238393148,1.195759595416603,0.5199154775984502,3.464101615137754,0,4.6,Середнє,0
123,12,10Сз,1,2920.10260232369,135,Medium,7,1,1,3,100,1000,0.6,0.6,0,0,1,0,1,7.57858283255199,1,-1.0552364084235097,0.9063936238393148,1.8603094425096425,0.20399384689830855,6.597539553864471,1,12.14,Середнє,0.09090909090909091
89,5,10Бп,0,3678.66826516158,125,Medium,2,1,1,2,100,500,0,0,0,0.2,0,0,1.6715168849584172,5,0,-1.128308387915764,-1.4691418279532915,-0.3548567144671555,0.8726504315583645,3.7892914162759954,1,15.920000000000002,Середнє,0.09090909090909091
59,79,10Сз,1,4035.04438145904,120,Medium,0,1,1,0,0,700,0,0,0,0.285714285714286,0,0,1.1871888128781674,4.71065067421325,0,-0.3558331761405055,0.9063936238393148,-1.4624397929555544,1.1867870296827632,4.3713693440071175,1,18.52,Середнє,0
43,6,10Сз,1,4458.06623908937,122,Medium,4,1,1,5,0,4400,0,0,0,0,0.371073313251648,0.622381265146196,2.005547653612221,8.94976726196684,0.371073313251648,-1.1178695337025848,0.9063936238393148,-1.0194065615601948,1.559670175357256,8.93208615636056,1,11.7,Середнє,0
88,23,10Бп,0,3934.57986019166,123,Medium,1,1,1,1,0,2000,0,0,0,0,0.00727100867067784,0.789068038463636,1.7277486517504022,6.17363738325356,0.00727100867067784,-0.940409012078539,-1.4691418279532915,-0.797889945862515,1.0982300767898008,8.233158904502975,1,10,Середнє,0
72,49,10Сз,1,4346.74309851953,122,Medium,2,1,1,2,0,300,0,0,0,0,0,0,1.0965606503372112,1.88988157484231,0,-0.6689988025358806,0.9063936238393148,-1.0194065615601948,1.4615416222026314,1.8898815748423097,0,4.4399999999999995,Середнє,0
57,73,10Сз,1,4512.06178050949,122,Medium,1,1,1,1,0,4200,0,0,0,0.142857142857143,0.0021085955935609,0.947512908576902,1.2393884295025182,8.88705322807946,0.0021085955935609,-0.4184663014195805,0.9063936238393148,-1.0194065615601948,1.6072658893232379,9.747899573271622,1,12.94,Середнє,0
55,53,8Бп2Сз,0.2,5015.72013593343,123,Medium,1,1,1,1,0,700,0,0,0,0,0.0360084405418283,0.962613164522497,1.1799245046178033,7,0.0360084405418283,-0.6272433856831638,-0.9940347375947703,-0.797889945862515,2.051228083068413,5.742347492053464,0,10.440000000000001,Середнє,0
38,49,8Бп2Сз,0.2,5094.11979045847,125,Medium,1,1,1,1,0,4500,0,0,0,0.0222222222222222,0,0.832499937960642,1.5712948268400158,9.47342484699529,0,-0.6689988025358806,-0.9940347375947703,-0.3548567144671555,2.1203354099636513,10.782601369176945,1,12.600000000000001,Середнє,0
1710,8,10Бп,0,2848.73786601205,123,Low,6,0,2,7,500,3600,0.21875,0.5,0.25,0.111111111111111,0.944561518209997,0.0484130829446549,1.265802116639593,6.86289408949923,0.944561518209997,-1.0969918252762265,-1.4691418279532915,-0.797889945862515,0.14108762376557954,5.802838113671523,1,12.639999999999999,Низьке,0.45454545454545453
1700,307,10Бп,0,2579.77849106735,124,Low,7,0,2,3,0,200,0.5,0.5,0,0,1,0,1,2,1,2.024225584464345,-1.4691418279532915,-0.5763733301648353,-0.09599331183861962,2,0,1.98,Низьке,0
1690,340,10Сз,1,2318.54219949698,127,Low,7,0,2,3,0,400,0,0,0,0,1,0,1,4,1,2.3687077734992577,0.9063936238393148,0.08817651692820407,-0.3262665433703658,2.82842712474619,0,6.28,Низьке,0
1680,141,7Бп2Сз1Ос,0.2,2080.25196843484,122,Low,6,0,2,7,0,2500,0.0625,0.142857142857143,0,0.36,0.899941569413957,0,1.384323177301199,4.93374512723507,0.899941569413957,0.29137578507660294,-0.9940347375947703,-1.0194065615601948,-0.5363133987260069,2.4966538965422838,0,7.399999999999999,Низьке,0
1520,74,10Сз,1,1908.54737949624,122,Low,7,0,2,3,0,500,0.8,0.8,0,0,1,0,1,3.789291416276,1,-0.4080274472064014,0.9063936238393148,-1.0194065615601948,-0.6876666824755232,2.8717458874925876,0,4.48,Низьке,0
1530,42,10Сз,1,2177.5504016956,123,Low,2,0,2,2,0,100,0,0,0,0,0,0,1,1,0,-0.7420707820281347,0.9063936238393148,-0.797889945862515,-0.4505472729122975,1,0,2.5,Низьке,0
1540,187,10Сз,1,2453.83744978298,124,Low,7,0,2,3,100,1300,0.25,0.25,0,0.0769230769230769,1,0,1,8.1510551826422,1,0.7715630788828447,0.9063936238393148,-0.5763733301648353,-0.2070071774263299,6.855979497130704,0,9.65,Низьке,0.09090909090909091
1550,21,10Бп,0,2735.20626833635,122,Low,7,0,2,3,0,700,0.285714285714286,0.285714285714286,0,0,1,0,1,5.74234749205346,1,-0.9612867205048973,-1.4691418279532915,-1.0194065615601948,0.04101237112518143,4.710650674213246,1,9.66,Низьке,0
1660,348,10Сз,1,1618.45927101244,124,Low,7,0,2,3,500,2600,0.2,0.2,0,0.0384615384615385,1,0,1,11.8387788487187,1,2.4522186072046908,0.9063936238393148,-0.5763733301648353,-0.9433720661645366,7.403228240808913,1,8.7,Низьке,0.45454545454545453
1500,48,10Сз,1,1409.08691547799,124,Low,7,0,2,3,300,2700,0.12,0.12,0,0.0740740740740741,0.983822648292391,0,1.0862848714750228,3.52528648888881,0.983822648292391,-0.6794376567490598,0.9063936238393148,-0.5763733301648353,-1.1279285403531325,3.2000594207597475,1,4.18,Низьке,0.2727272727272727
1340,73,10Сз,1,1237.5894891545,122,Low,7,0,2,3,400,3400,0.0882352941176471,0.0882352941176471,0,0,1,0,1,9.35775510297494,1,-0.4184663014195805,0.9063936238393148,-1.0194065615601948,-1.2790992154591592,7.472061878458641,1,12.8,Низьке,0.36363636363636365
1180,133,7Бп3Сз,0.3,1121.46916073634,123,Low,7,0,2,3,1100,900,0.222222222222222,0.222222222222222,0,0,1,0,1,5.34941802342378,1,0.2078649513711696,-0.7564811924155097,-0.797889945862515,-1.3814563692475506,4.585756412345816,1,9.220000000000002,Низьке,1
1170,125,7Бп3Сз,0.3,836.584435941423,123,Low,7,0,2,3,400,2100,0.142857142857143,0.15,0,0,0.999951435093002,4.85649069982031e-5,1.0005310809513972,5.6809967075282,0.999951435093002,0.12435411766573624,-0.7564811924155097,-0.797889945862515,-1.6325751008686757,4.729806811657798,1,4.6,Низьке,0.36363636363636365
1330,253,10Сз,1,986.807326698375,126,Low,7,0,2,3,100,2700,0.259259259259259,0.269230769230769,0,0,0.966761515545031,0.0332384844549691,1.1569939533469404,10.6151520603949,0.966761515545031,1.4605274569526698,0.9063936238393148,-0.13334009876947572,-1.500157394673648,4.7529923658123,0,5.259999999999999,Низьке,0.09090909090909091
1490,222,10Сз,1,1194.85242637417,125,Low,7,0,2,3,100,5500,0.235294117647059,0.235294117647059,0,0.0727272727272727,1,0,1,7.90257907933639,1,1.1369229763441155,0.9063936238393148,-0.3548567144671555,-1.3167708631978532,6.688425229821171,1,7.580000000000002,Низьке,0.09090909090909091
1320,137,10Сз,1,772.257621606156,124,Low,7,0,2,3,100,900,0,0,0,0,1,0,1,5.34941802342378,1,0.24962036822388625,0.9063936238393148,-0.5763733301648353,-1.6892775724972566,2.8888455168024434,0,3.6500000000000004,Низьке,0.09090909090909091
2660,24,9Сз1Бп,0.9,3773.32031271969,128,Low,3,0,2,4,200,4300,0.527777777777778,0.5,0.541666666666667,0.162790697674419,0.148445280851506,0.851554719148494,1.521965762612528,6.90817555673665,0.148445280851506,-0.9299701578653597,0.6688400786600542,0.3096931326258839,0.9560838348243547,6.7336628989604,1,10.800000000000002,Низьке,0.18181818181818182
2650,184,10Бп,0,3599.75629086091,126,Low,1,0,2,1,0,400,0.25,0,0.5,0,0,0.569573103582302,1.9806693895136827,2.82842712474619,0,0.7402465162433072,-1.4691418279532915,-0.13334009876947572,0.8030915076449521,4,0,9.26,Низьке,0
2640,144,7Бп3Ос,0,3443.68441943035,126,Low,4,0,2,5,100,800,0.125,0,0.5,0,0.254160654160654,0.745839345839346,1.7627235714545257,4.45565973351251,0.254160654160654,0.32269234771614047,-1.4691418279532915,-0.13334009876947572,0.6655180718505562,3.363585661014858,0,8.35,Низьке,0.09090909090909091
2320,49,5Бп2Ос2Сз1Врл,0.2,2934.55605404979,123,Low,6,0,2,7,0,1000,0,0,0,0.2,0.812376590609917,0,1.7789488380963288,5.74349177498518,0.812376590609917,-0.6689988025358806,-0.9940347375947703,-0.797889945862515,0.2167342016773098,5.743491774985176,0,7.059999999999999,Низьке,0
2150,28,8Сз2Бп,0.8,2517.75758842954,126,Low,5,0,2,6,0,1000,0,0,0,0,0.55865434629624,0.284926414343848,2.646361271889959,7.19223093324864,0.55865434629624,-0.8882147410126431,0.4312865334807936,-0.13334009876947572,-0.15066318020595995,6.597539553864471,0,9.199999999999996,Низьке,0
1990,48,8Сз2Бп,0.8,2272.74091146181,126,Low,7,0,2,3,0,700,0,0,0,0,1,0,1,7,1,-0.6794376567490598,0.4312865334807936,-0.13334009876947572,-0.36663922873033217,3.5859888270569535,0,6.8999999999999995,Низьке,0
1830,82,8Сз2Бп,0.8,2042.43569129844,124,Low,7,0,2,3,0,600,0,0,0,0,1,0,1,6,1,-0.324516613500968,0.4312865334807936,-0.5763733301648353,-0.5696474974775703,6,0,8.35,Низьке,0
2470,12,10Бп,0,3037.51179363689,125,Low,5,0,2,6,0,5400,0,0,0,0.0555555555555556,0.635447655106895,0.364552344893105,1.9270542839821243,6.24868818739066,0.635447655106895,-1.0552364084235097,-1.4691418279532915,-0.3548567144671555,0.3074871009660988,6.328159299155322,1,12.559999999999999,Низьке,0
2630,24,10Бп,0,3307.57675261606,125,Low,4,0,2,5,0,300,0,0,0,0,0.300727846050841,0.631541435390164,2.3023637786728353,3,0.300727846050841,-0.9299701578653597,-1.4691418279532915,-0.3548567144671555,0.5455425811361271,1.8898815748423097,0,10.439999999999998,Низьке,0
2620,43,7Сз3Бп,0.7,3194.00454794071,124,Low,7,0,2,3,0,200,0,0,0,0,1,0,1,2,1,-0.7316319278149556,0.19373298830153277,-0.5763733301648353,0.4454315344451549,2,0,5.1899999999999995,Низьке,0
2610,48,7Сз3Бп,0.7,3105.42825770642,125,Low,7,0,2,3,0,4500,0.0222222222222222,0.0222222222222222,0,0,1,0,1,12.0418961514412,1,-0.6794376567490598,0.19373298830153277,-0.3548567144671555,0.3673537587014678,4.64357406493264,1,5.640000000000001,Низьке,0
2920,93,7Сз3Бп,0.7,3637.7374651537,128,Low,4,0,2,5,0,500,0,0,0,0,0.353695063648407,0.646304936351593,1.9149740448741026,5,0.353695063648407,-0.20968921715599714,0.19373298830153277,0.3096931326258839,0.836570959099404,5.000000000000001,0,6.690000000000001,Низьке,0
2910,242,8Сз2Бп,0.8,3610.53268351829,128,Low,4,0,2,5,0,200,0,0,0,0,0.310608020698577,0.689391979301423,1.8581591431716549,2,0.310608020698577,1.345700060607699,0.4312865334807936,0.3096931326258839,0.8125906271836375,2,0,8.299999999999999,Низьке,0
2740,53,8Сз2Бп,0.8,3308.44412582712,126,Low,7,0,2,3,0,800,0,0,0,0,1,0,1,6.72717132202972,1,-0.6272433856831638,0.4312865334807936,-0.13334009876947572,0.5463071488424524,3.7467482975009925,0,6.819999999999999,Низьке,0
2570,294,8Сз2Бп,0.8,3035.79232243471,130,Low,7,0,2,3,0,2600,0,0,0,0,1,0,1,10.7812834329899,1,1.8885204796930157,0.4312865334807936,0.7527263640212435,0.3059714302762738,6.724011450962163,1,7.85,Низьке,0
